"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"SITESB-1<XMEX>","Telesites","B-1","MX","Accion","cancelado","SITESB-1","BMV","Acciones","2015-12-21","2022-03-14","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"AZTECACPO<XMEX>","TV Azteca","CPO","MX","Accion","cancelado","AZTECACPO","BMV","Acciones","1997-08-15","2023-05-31","Peso Mexico","Telecomunicaciones","Telecomunicación"
"VITROAold<XMEX>","Vitroold","A","MX","Accion","cancelado","VITROAold","BMV","Acciones","1991-12-02","2024-02-27","Peso Mexico","Fabricación de vidrio y productos de vidrio","Minerales no Met"
"ABACOGFA<XMEX>","Abaco GF","A","MX","Accion","cancelado","ABACOGFA","BMV","Acciones No Susceptibles de Negociación en la BMV","1992-03-24","1997-07-14","Peso Mexico","Instituciones de intermediación crediticia y financiera no bursátil","Finanzas y Seguros"
"AMXAA<XMEX>","America Movil","AA","MX","Accion","cancelado","AMXAA","BMV","Acciones No Susceptibles de Negociación en la BMV","-","-","Peso Mexico","Operadores de servicios de telecomunicaciones inalámbricas (excepto satélite)","Telecomunicación"
"CREAL<XMEX>","Creal","*","MX","Accion","cancelado","CREAL","BMV","Acciones Seguros, Fianzas y Organizaciones Auxiliares de Crédito","2012-10-17","2022-05-31","Peso Mexico","Instituciones financieras de fomento económico","Finanzas y Seguros"
"GENSEG<XMEX>","General de Seguros","*","MX","Accion","cancelado","GENSEG","BMV","Acciones Seguros, Fianzas y Organizaciones Auxiliares de Crédito","1992-02-26","2019-05-15","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"GEOB<XMEX>","Geo Corporacion","B","MX","Accion","cancelado","GEOB","BMV","Acciones Seguros, Fianzas y Organizaciones Auxiliares de Crédito","1994-09-13","2018-04-30","Peso Mexico","Edificación residencial","Construcción"
"TERRA13<XMEX>","Fibra Terra","13","MX","Accion","cancelado","TERRA13","BMV","Fibras","2013-03-19","2026-02-18","Peso Mexico","Centros generales de alquiler","Otros"
"ACMEXA1<XMEX>","A C Mexicana","A1","MX","Accion","cancelado","ACMEXA1","BMV","-","1997-11-06","1997-11-06","Peso Mexico","Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva","Maquinaria Indust"
"ACMEXB1<XMEX>","A C Mexicana","B1","MX","Accion","cancelado","ACMEXB1","BMV","-","1997-11-06","1997-11-06","Peso Mexico","Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva","Maquinaria Indust"
"ABACOGFB<XMEX>","Abaco GF","B","MX","Accion","cancelado","ABACOGFB","BMV","-","1992-03-26","1997-07-22","Peso Mexico","Instituciones de intermediación crediticia y financiera no bursátil","Finanzas y Seguros"
