Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
AMXA<XMEX>,America Movil,A,MX,Accion,activo,AMXA,BMV,Acciones,07/02/2001,15/03/2023,Peso Mexico,Operadores de servicios de telecomunicaciones inalámbricas (excepto satélite),Telecomunicación
AMXB<XMEX>,America Movil,B,MX,Accion,activo,AMXB,BMV,Acciones,07/02/2001,08/05/2026,Peso Mexico,Operadores de servicios de telecomunicaciones inalámbricas (excepto satélite),Telecomunicación
AMXL<XMEX>,America Movil,L,MX,Accion,activo,AMXL,BMV,Acciones,07/02/2001,15/03/2023,Peso Mexico,Operadores de servicios de telecomunicaciones inalámbricas (excepto satélite),Telecomunicación
ARA<XMEX>,Ara Consorcio,*,MX,Accion,activo,ARA,BMV,Acciones,26/09/1996,08/05/2026,Peso Mexico,Edificación residencial,Construcción
AC<XMEX>,Arca Continental,*,MX,Accion,activo,AC,BMV,Acciones,14/12/2001,08/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
ARISTOSA<XMEX>,Aristos Consorcio,A,MX,Accion,activo,ARISTOSA,BMV,Acciones,18/01/1996,23/01/2026,Peso Mexico,Construcción,Construcción
ASURB<XMEX>,Asureste,B,MX,Accion,activo,ASURB,BMV,Acciones,28/09/2000,08/05/2026,Peso Mexico,Servicios relacionados con el transporte aéreo,Transporte Servic
AUTLANB<XMEX>,Autlan Cia. Minera,B,MX,Accion,activo,AUTLANB,BMV,Acciones,04/02/1994,08/05/2026,Peso Mexico,Minería de minerales metálicos,Minería
AXTELCPO<XMEX>,Axtel,CPO,MX,Accion,activo,AXTELCPO,BMV,Acciones,05/12/2005,08/05/2026,Peso Mexico,Otros servicios de telecomunicaciones,Telecomunicación
BACHOCOB<XMEX>,Bachoco Industrias,B,MX,Accion,activo,BACHOCOB,BMV,Acciones,19/09/1997,09/02/2024,Peso Mexico,Explotación avícola y Huevos,Agro & Pesca
BAFARB<XMEX>,Bafar Grupo,B,MX,Accion,activo,BAFARB,BMV,Acciones,13/09/1996,08/05/2026,Peso Mexico,Explotación de otros animales,Agro & Pesca
BIMBOA<XMEX>,Bimbo,A,MX,Accion,activo,BIMBOA,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Elaboración de productos de panadería y tortillas,Alimentos y Beb
BOLSAA<XMEX>,Bolsa Mexicana Val,A,MX,Accion,activo,BOLSAA,BMV,Acciones,13/06/2008,08/05/2026,Peso Mexico,Bolsa de valores,Finanzas y Seguros
