Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
APASCO<XMEX>,Apasco,Ord,MX,Accion,cancelado,APASCO,BMV,-,02/12/1991,17/05/2004,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
ARGOSB<XMEX>,Argos Embotelladora,B,MX,Accion,cancelado,ARGOSB,BMV,-,16/11/1998,23/01/2003,Peso Mexico,Industria de las bebidas,Alimentos y Beb
ARISTOSB<XMEX>,Aristos Consorcio,B,MX,Accion,cancelado,ARISTOSB,BMV,-,02/01/1992,09/11/2012,Peso Mexico,Construcción,Construcción
UNIFINA old<XMEX>,Arrendadora Unifin Old,A,MX,Accion,cancelado,UNIFINA old,BMV,-,21/05/2015,12/04/2019,Peso Mexico,Servicios financieros y de seguros,Finanzas y Seguros
AXISB<XMEX>,Axis Sistemas,B,MX,Accion,cancelado,AXISB,BMV,-,02/12/1991,25/08/2000,Peso Mexico,Servicios de apoyo a los negocios,Otros
BANACCIO<XMEX>,Banamex Accival GF,O,MX,Accion,cancelado,BANACCIO,BMV,-,02/12/1991,06/09/2001,Peso Mexico,Bancos,Finanzas y Seguros
COMPART_O<XMEX>,Banco Compartamos,O,MX,Accion,cancelado,COMPART_O,BMV,-,19/04/2007,04/10/2011,Peso Mexico,Bancos,Finanzas y Seguros
BBVPROB<XMEX>,BBV-Probursa GF,B,MX,Accion,cancelado,BBVPROB,BMV,-,02/12/1991,25/08/2000,Peso Mexico,Bancos,Finanzas y Seguros
PAPPELA<XMEX>,Bio Pappel,A,MX,Accion,cancelado,PAPPELA,BMV,-,15/07/1994,14/08/2006,Peso Mexico,"Fabricación de pulpa, papel y cartón",Papel y Celulosa
MOVILAB<XMEX>,Biper,B,MX,Accion,cancelado,MOVILAB,BMV,-,20/06/1997,24/09/2007,Peso Mexico,Telecomunicaciones,Telecomunicación
BUFETECPO<XMEX>,Bufete Industrial,CPO,MX,Accion,cancelado,BUFETECPO,BMV,-,21/09/1994,13/07/1999,Peso Mexico,Construcción pesada y ingeniería civil,Construcción
CAMPUSA<XMEX>,Campus,A,MX,Accion,cancelado,CAMPUSA,BMV,-,17/12/1998,16/04/2001,Peso Mexico,"Cultivo en invernaderos y viveros, y floricultura",Agro & Pesca
CAMPUSB<XMEX>,Campus,B,MX,Accion,cancelado,CAMPUSB,BMV,-,14/01/1999,31/05/1999,Peso Mexico,"Cultivo en invernaderos y viveros, y floricultura",Agro & Pesca
TELECOMA1<XMEX>,Carso Global Teleco,A1,MX,Accion,cancelado,TELECOMA1,BMV,-,26/07/1996,19/01/2011,Peso Mexico,Telecomunicaciones,Telecomunicación
CICSAB-1<XMEX>,Carso Infraestr.,B-1,MX,Accion,cancelado,CICSAB-1,BMV,-,20/10/2005,18/05/2012,Peso Mexico,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",Construcción
CBIGFA<XMEX>,Cbi Gpo Fin,A,MX,Accion,cancelado,CBIGFA,BMV,-,13/11/1998,13/11/1998,Peso Mexico,"Actividades bursátiles, cambiarias y de inversión financiera",Finanzas y Seguros
CBIGFB<XMEX>,Cbi Gpo Fin,B,MX,Accion,cancelado,CBIGFB,BMV,-,13/11/1998,13/11/1998,Peso Mexico,"Actividades bursátiles, cambiarias y de inversión financiera",Finanzas y Seguros
AMEXICOA<XMEX>,Cintra,A,MX,Accion,cancelado,AMEXICOA,BMV,-,28/06/1996,21/12/2007,Peso Mexico,Transporte aéreo regular,Transporte Servic
KOFL<XMEX>,Coca Cola Femsa,L,MX,Accion,cancelado,KOFL,BMV,-,14/09/1993,10/04/2019,Peso Mexico,Industria de las bebidas,Alimentos y Beb
COMERCIUB<XMEX>,Comercial Mexicana,UB,MX,Accion,cancelado,COMERCIUB,BMV,-,10/09/1996,27/12/2013,Peso Mexico,Grandes almacenes,Comercio
