Fecha,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX,Fecha
2011-07-18,0.008446788844677363,-0.0018726597191477772,0.0037421373522363364,0.0,-0.01450904587143711,-0.009338971775642647,-0.0172683908888673,-0.0025424913512814033,-0.030523532926599064,-0.0026705256712772157,-0.0031897953794660615,0.0035792442116422086,-0.006971613742209771,-0.0037893186678640274,-0.00265001100267218,-0.002376911134361924,-0.026459527554728485,0.010112882777889015,-0.02298951822692036,0.005878574524359684,-0.007011422233282199,-0.009279970180785383,0.0,-0.011281344475223422,-0.015317586137687352,-0.033747278313735966,-0.021704846481325254,-0.012600395800687388,-0.015899388561077917,-0.01462891803164113,-0.010534871104884113,-0.01394036515450304,-0.04073537318110482,-0.014147842653749906,0.03839231747232445,-0.021774415314166403,-0.014573268696916143,-0.0043547753744918455,2011-07-18
2011-07-19,0.014105653321582418,-0.000625000002169144,-0.0010191949193111885,-0.007168489478038986,0.0024740240185391134,0.037795196159394806,0.0009326909006486901,-0.0043815932470397286,0.03448617609800664,0.0,0.0009124088627224404,-0.005573262840925979,-0.00318505420234819,-0.0324102441963529,0.0003790031855996991,-0.007164820819039589,0.008273834337769223,0.0015467907669025555,0.007130154996484803,-0.01672231558067844,-0.003524232720244779,-0.0072913192306357,0.006400021845467505,0.0001350530337587774,0.005497539951887168,0.006151499597568889,0.023986389758320587,0.01714327696987027,-0.004333977470943409,-0.0013233767161994325,0.03023301063009695,0.007404394182143623,0.030285957307840217,0.015482028884047849,-0.011635730771981203,0.03190502989908497,0.013820670750933507,-0.008473388889340048,2011-07-19
2011-07-20,0.0049637017055230385,-0.0059570641788437755,-0.02025820352171806,0.007168489478039084,-0.013934039823225788,-0.01581628947311415,0.001862776080204614,-0.012163389026212149,0.013189471381560397,-0.008054635777653286,-0.022130917049514472,0.001994018629283953,-0.009831239688343537,-0.002748872713465589,-0.00151687550140236,0.00580404496472834,0.013762538198497131,0.00923083472216384,0.005314450060234206,-0.011256605958463629,-0.014222461949502623,0.0035307761770620506,0.020521635720796988,-0.0013513515660503951,-0.018816271798690297,0.003443661346625131,0.011330282169530791,-0.013978262100711644,-0.008724715330972457,-0.013330991557610153,-0.00436338938684068,-0.005754228760295915,0.007117467768129129,-0.0011824525429201841,-0.009557218963699357,0.0013559324020824223,-0.007790737075073428,-0.032809384855095866,2011-07-20
2011-07-21,0.010398707231864581,0.005644417607127153,0.0038082095590591105,0.0,0.013934039823225733,-0.005813969876503952,0.01110437070269669,0.018314355989427124,0.0022277926374374233,-0.00033702185946800546,-0.008427016201237614,-0.001994018629283824,0.012380094098895438,-0.009085584932548274,0.018797545975076744,0.004246290880035497,0.029483482289520725,0.02868121130547628,-0.005314450060234246,0.002935997423202935,0.0,0.011359638775505347,0.01242251999855711,-0.0009470338402525755,0.017719178988767983,0.02265957976839237,0.01919273372202021,0.03055400332010541,0.006934662433185553,0.017107431100167304,0.015447673302386087,0.004934220531497725,0.022278149091462633,0.023156221167795064,0.012312983881914425,0.00944039378406962,0.0061678305609019065,-0.0320421743066782,2011-07-21
2011-07-22,0.006512324021151911,-0.0025046975926104557,0.002760526263771234,0.0,0.00640396278176006,0.026847250039110142,-0.00677134011149588,0.007676999948458735,0.0047176443606464285,0.0,-0.01372802624482299,0.001994018629283953,0.011180371702729333,0.003565066214447425,0.009267906934463974,0.0,-0.011907050315650765,-0.01423778273384993,0.022828032558138513,-0.001026618841515622,0.023884372878817766,-0.010509246932259178,0.021374859584733393,0.00459150026742442,-0.04490092040903757,0.00037334332848330674,0.01622486804349828,-0.02026525867427347,0.006505539876079906,0.0,-0.017724182471938892,-0.002669680198368297,-0.019778147789634642,-0.010459130780181566,0.001638129767406653,0.011060372095455748,0.004456670665800713,0.0074859987577282515,2011-07-22
2011-07-25,0.019816769174860107,0.0015661710124278874,-0.009347480203723665,0.04652001563549676,0.004898368835294549,0.004248295281166297,0.01166731073961081,0.01215108261183544,0.003592652771434301,0.012283794885222151,0.00854300406185132,0.0,-0.0006295247332142491,0.020740324668246896,-0.025791001627529814,-0.0010174665922795894,-0.011683228914021664,-0.006815626538196684,0.0,0.0007334066922334385,-0.007017572653948971,0.017763691621781562,0.010518504191220317,-0.013838234644351152,-0.013873054875104552,0.014084739874806096,-0.00523333070703143,-0.022718446524739623,0.0,-0.0022641519032623675,-0.011638290448795581,0.003284749408259969,0.012818037809696996,-0.012697090387613567,0.009058612775567495,-0.012787653970730659,-0.003181308175913332,-0.0037359943730457456,2011-07-25
2011-07-26,-0.00745212817510924,-0.0015661710124280444,-0.005930594774766268,0.0,-0.01650487027876025,-0.003302668707513793,-0.007045518505699934,0.005468663420714802,0.0079681696340415,0.0015526231363306735,-0.06089048897193674,0.003976148355152418,-0.000209929661683669,-0.05574691673217565,0.007168489522093982,-0.0015281435974113663,-0.027929575596114444,-0.009927534688880094,0.017212128862828125,0.004681108620545519,0.0008798944448788019,-0.008514791586996607,0.001493652256783372,-0.02812403967077852,-0.0034985458283173522,-0.02421425810976068,-0.019426659539616118,-0.02533272432673337,0.016268723782943816,-0.03517902401829003,-0.014470998396122365,0.0036824918903582632,-0.00041093076390822845,0.002599552448041184,-0.005848649410956467,-0.004041964886507118,0.005085246442910513,-0.01698688221763032,2011-07-26
2011-07-27,0.01975024522275372,0.0,-0.020502662314340354,0.0,0.006190436991939184,-0.015238390085438494,-0.02206771756207192,0.04677400145393712,0.0010940920357709583,0.0,-0.056833474702615176,-0.0039761483551523005,0.0,-0.00987662346018515,0.003752349620059487,0.0010190218234071213,-0.0503397024549415,-0.021723119608978204,0.021941808540655038,0.006110887617724567,0.0008791209112228403,0.02941154692268554,0.010393560527263082,0.03330186836590735,-0.015303418141947672,0.010129518234954666,0.01064311600039828,-0.006584878624592185,0.06407713125858554,-0.022957667700539988,0.028035902962904667,0.0063104535158592726,0.0012322860461402446,0.008226630005552626,0.012354176999759206,0.0019267828665334562,0.002877865455319677,-0.015345569682451937,2011-07-27
2011-07-28,0.04723408036468673,0.0,0.013832460317690951,0.0,0.005170515013390271,0.003353296537489733,0.010939318325435064,0.054393845278057185,-0.015982704507764515,0.035167741440086865,0.02985296312745044,0.007936549615741695,0.0020973162031135547,0.00946703923458581,0.038211849469773254,0.0015265883662838092,0.04237757506042529,0.003913899400472813,0.013267192943635604,0.013256678292421128,0.009619663180237775,0.024146042292839485,-0.004441161999967825,0.014839069015786922,-0.05988349676177322,0.02032214772375634,0.01705705031251872,0.004793298560499643,-0.00954914418176572,0.013719272747420824,-0.01409714977026863,0.0240588989800934,0.01224005489327083,0.015331310773249961,-0.02072161058618442,0.016040061295363464,0.0008043203962828031,0.02418959450284956,2011-07-28
2011-07-29,-0.020529073644600892,0.0,0.010163045259060218,0.0,0.02138079504798518,0.009519348389720706,0.011743027407950243,0.03968073964837125,-0.009769791599306403,0.014761591261427369,-0.0010325245863757864,-0.0039604012605894265,0.007722046082754679,-0.029517836295891733,0.006467863022939202,-0.0027155481546749976,0.025184567308699186,0.03756670173921708,0.014718172487429576,0.002573268042412672,-0.006986927982189862,-0.0166542014142776,0.010332195237205194,-0.017288383039373103,0.03951131228191488,0.03238858133115229,0.002165909490742639,-0.012329129268720013,0.004609120013443929,0.012754023562660633,-0.015920200279590548,0.003164559630766725,0.004046950079793477,-0.003463806756958502,-0.008596069645550543,-0.011047731412794895,-0.009057144607470011,0.01807465843938371,2011-07-29
