,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
OMAB,6.49E-05,0.000104066,3.27E-05,8.44E-05,2.86E-05,0.000131915,4.38E-05,3.00E-05,6.53E-05,8.17E-05,3.93E-05,6.49E-05,0.000181342,0.000372327,4.94E-05,8.89E-05,5.80E-05,9.32E-05,6.99E-05,0.000156681,7.16E-05,5.55E-05,9.22E-05,5.72E-05,0.000125956,7.14E-05,7.11E-05,0.000107935,6.86E-05,0.000118008,0.00010706,8.34E-05,5.90E-05,9.61E-05,7.24E-05,0.000102564,0.000111341,5.94E-05
MEGACPO,3.96E-05,3.92E-05,1.94E-05,3.05E-05,1.49E-05,3.89E-05,2.32E-05,1.20E-05,2.81E-05,3.83E-05,1.95E-05,3.35E-05,3.76E-05,4.94E-05,0.000242678,2.79E-05,3.18E-05,4.10E-05,2.97E-05,2.99E-05,3.15E-05,2.04E-05,4.92E-05,3.81E-05,5.58E-05,3.44E-05,4.30E-05,4.71E-05,1.76E-05,5.20E-05,5.17E-05,4.65E-05,3.60E-05,4.56E-05,5.19E-05,6.52E-05,3.78E-05,2.87E-05
PINFRA,5.06E-05,6.87E-05,2.27E-05,6.31E-05,3.87E-05,7.54E-05,3.37E-05,3.62E-05,5.14E-05,6.46E-05,4.03E-05,4.59E-05,8.27E-05,8.89E-05,2.79E-05,0.000219834,6.21E-05,7.01E-05,5.13E-05,7.30E-05,5.50E-05,4.82E-05,6.21E-05,5.39E-05,8.24E-05,6.57E-05,5.82E-05,9.21E-05,4.66E-05,7.80E-05,8.75E-05,7.40E-05,4.83E-05,7.96E-05,7.51E-05,6.42E-05,8.19E-05,4.46E-05
LABB,6.35E-05,5.81E-05,3.28E-05,5.46E-05,5.02E-05,9.67E-05,4.36E-05,6.42E-05,5.56E-05,5.59E-05,5.47E-05,4.97E-05,5.75E-05,5.80E-05,3.18E-05,6.21E-05,0.000548482,7.79E-05,7.38E-05,5.99E-05,6.44E-05,4.05E-05,7.04E-05,7.10E-05,0.000109814,7.79E-05,6.86E-05,9.35E-05,5.15E-05,8.41E-05,9.39E-05,8.50E-05,4.63E-05,9.36E-05,6.31E-05,7.56E-05,8.84E-05,5.54E-05
ALSEA,7.68E-05,9.62E-05,3.83E-05,7.83E-05,5.14E-05,0.000126011,5.76E-05,3.34E-05,6.93E-05,8.50E-05,3.68E-05,7.27E-05,8.65E-05,9.32E-05,4.10E-05,7.01E-05,7.79E-05,0.000354443,6.67E-05,8.41E-05,6.44E-05,4.31E-05,8.78E-05,7.46E-05,0.000116525,8.26E-05,7.36E-05,0.000104445,7.11E-05,0.000111614,0.000105653,9.75E-05,5.85E-05,8.53E-05,8.58E-05,9.40E-05,9.39E-05,5.85E-05
ARA,7.71E-05,6.80E-05,3.51E-05,4.24E-05,8.31E-05,0.000103498,4.54E-05,3.75E-05,6.46E-05,6.83E-05,5.56E-05,7.13E-05,4.84E-05,6.99E-05,2.97E-05,5.13E-05,7.38E-05,6.67E-05,0.000428352,5.49E-05,5.85E-05,4.21E-05,0.000114405,5.97E-05,0.00012182,8.03E-05,6.86E-05,8.30E-05,5.39E-05,9.30E-05,9.18E-05,7.47E-05,4.31E-05,9.86E-05,9.93E-05,6.13E-05,7.88E-05,5.19E-05
ASURB,5.89E-05,8.01E-05,2.50E-05,7.24E-05,4.32E-05,0.000107521,4.17E-05,3.35E-05,6.18E-05,7.84E-05,4.57E-05,5.35E-05,0.000183266,0.000156681,2.99E-05,7.30E-05,5.99E-05,8.41E-05,5.49E-05,0.000298901,6.79E-05,4.86E-05,6.19E-05,5.92E-05,0.000121306,7.30E-05,4.91E-05,0.000101192,7.32E-05,0.000101309,9.77E-05,7.76E-05,4.67E-05,8.30E-05,6.97E-05,0.000103439,9.82E-05,5.47E-05
AMXB,6.38E-05,4.68E-05,2.73E-05,6.25E-05,2.98E-05,8.13E-05,3.65E-05,2.73E-05,6.01E-05,6.34E-05,3.98E-05,4.73E-05,6.82E-05,7.16E-05,3.15E-05,5.50E-05,6.44E-05,6.44E-05,5.85E-05,6.79E-05,0.000233151,4.37E-05,5.78E-05,5.35E-05,0.000110104,7.02E-05,5.66E-05,9.17E-05,5.95E-05,8.67E-05,9.41E-05,7.53E-05,4.42E-05,8.28E-05,7.11E-05,9.62E-05,8.59E-05,5.47E-05
AC,4.38E-05,4.76E-05,1.52E-05,4.45E-05,2.89E-05,5.40E-05,3.07E-05,2.93E-05,4.59E-05,5.37E-05,3.60E-05,3.96E-05,5.46E-05,5.55E-05,2.04E-05,4.82E-05,4.05E-05,4.31E-05,4.21E-05,4.86E-05,4.37E-05,0.000165636,3.94E-05,5.04E-05,6.84E-05,6.68E-05,3.94E-05,6.44E-05,5.20E-05,5.90E-05,6.51E-05,4.80E-05,4.18E-05,5.56E-05,5.79E-05,3.94E-05,6.20E-05,4.43E-05
AXTELCPO,9.51E-05,9.79E-05,4.55E-05,7.97E-05,6.21E-05,0.000113831,7.34E-05,6.13E-05,8.85E-05,8.95E-05,4.80E-05,7.84E-05,6.58E-05,9.22E-05,4.92E-05,6.21E-05,7.04E-05,8.78E-05,0.000114405,6.19E-05,5.78E-05,3.94E-05,0.000893281,7.43E-05,0.000132438,9.24E-05,9.42E-05,0.000108016,6.11E-05,0.00012329,9.87E-05,8.81E-05,7.07E-05,0.000101221,9.67E-05,0.000110304,0.000103089,6.83E-05
